Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
800000	-30.12456	0	-30.12456	0.153424	0.149079	0.0831357	0.13074	0.188813	0.349567	1.10427	1.46422	1.24495
810000	-28.55797	0	-28.55797	0.152894	0.182964	0.116436	0.128727	0.0907962	0.190086	0.585769	0.651676	0.540182
820000	-32.11838	0	-32.11838	0.14651	0.160643	0.188634	0.0830783	0.275123	0.110105	2.48435	1.46056	1.61425
830000	-23.10438	0	-23.10438	0.120177	0.248119	0.0951133	0.193232	0.0869487	0.114977	1.11957	0.3976	0.742236
840000	-20.89404	0	-20.89404	0.168738	0.195428	0.117657	0.116787	0.075033	0.17942	1.38414	0.788304	0.680005
850000	-29.45063	0	-29.45063	0.134236	0.088255	0.259117	0.103395	0.0661451	0.189871	0.763453	0.734505	1.0951
860000	-29.77501	0	-29.77501	0.325727	0.404637	0.10338	0.117138	0.113823	0.0982948	0.55544	1.09967	0.748022
870000	-29.12968	0	-29.12968	0.125525	0.215434	0.0700625	0.272036	0.270101	0.139446	1.23572	0.986697	1.18681
880000	-35.32377	0	-35.32377	0.0833362	0.714096	0.281174	0.0647884	0.263142	0.0629353	0.658587	0.702799	1.48246
890000	-30.2186	0	-30.2186	0.118273	0.356193	0.0990498	0.138693	0.21972	0.207719	0.71195	0.332738	0.524346
900000	-32.93323	0	-32.93323	0.403039	0.455994	0.0456695	0.194621	0.16541	0.13481	0.774252	0.603862	0.577268
910000	-31.1767	0	-31.1767	0.154242	0.130666	0.133373	0.181349	0.0516372	0.0440386	0.683536	0.406849	0.812903
920000	-25.73748	0	-25.73748	0.117212	0.802521	0.0973766	0.12781	0.152512	0.279794	1.84793	1.5183	0.276313
930000	-27.73402	0	-27.73402	0.052544	0.452585	0.16831	0.0835244	0.130958	0.165307	0.980318	1.12411	0.74824
940000	-28.14282	0	-28.14282	0.239945	0.200776	0.166626	0.120451	0.241113	0.0661207	0.886289	0.754776	1.06189
