taxon	fad_max	fad_min	lad_max	lad_min
t380	10	0	10	0
t381	10	0	10	0
t386	10	0	10	0
t387	10	0	10	0
t395	10	0	10	0
t396	10	0	10	0
t399	10	0	10	0
t400	10	0	10	0
t402	10	0	10	0
t403	10	0	10	0
t404	10	0	10	0
t405	10	0	10	0
t407	10	0	10	0
t410	10	0	10	0
t415	10	0	10	0
t419	10	0	10	0
t420	10	0	10	0
t421	10	0	10	0
t422	10	0	10	0
t423	10	0	10	0
t424	10	0	10	0
t425	10	0	10	0
t428	10	0	10	0
t429	10	0	10	0
t431	10	0	10	0
t434	20	10	20	10
t435	10	0	10	0
t436	10	0	10	0
t437	10	0	10	0
t438	10	0	10	0
t439	10	0	10	0
t440	10	0	10	0
t441	10	0	10	0
t442	10	0	10	0
t445	10	0	10	0
t447	10	0	10	0
t449	10	0	10	0
t453	20	10	10	0
t455	10	0	10	0
t461	10	0	10	0
t462	10	0	10	0
t463	10	0	10	0
t464	10	0	10	0
t465	10	0	10	0
t472	10	0	10	0
t474	10	0	10	0
t475	10	0	10	0
t477	10	0	10	0
t479	10	0	10	0
t480	10	0	10	0
t482	10	0	10	0
t489	10	0	10	0
t494	10	0	10	0
t495	10	0	10	0
t505	10	0	10	0
t506	10	0	10	0
t507	10	0	10	0
t508	10	0	10	0
t509	10	0	10	0
t511	10	0	10	0
t516	10	0	10	0
t519	10	0	10	0
t529	10	0	10	0
t530	10	0	10	0
t533	10	0	10	0
t535	10	0	10	0
t539	10	0	10	0
t540	10	0	10	0
t542	10	0	10	0
t543	10	0	10	0
t544	10	0	10	0
t545	10	0	10	0
t547	10	0	10	0
t550	10	0	10	0
t551	10	0	10	0
t552	10	0	10	0
t553	10	0	10	0
t557	10	0	10	0
t558	10	0	10	0
t559	10	0	10	0
t561	10	0	10	0
t565	10	0	10	0
t568	10	0	10	0
t575	10	0	10	0
t579	10	0	10	0
t580	10	0	10	0
t581	10	0	10	0
t582	10	0	10	0
t583	10	0	10	0
t585	10	0	10	0
t586	10	0	10	0
t587	10	0	10	0
t588	10	0	10	0
t593	10	0	10	0
t595	10	0	10	0
t596	10	0	10	0
t601	10	0	10	0
t603	10	0	10	0
t604	10	0	10	0
t606	10	0	10	0
t607	10	0	10	0
t609	10	0	10	0
t612	10	0	10	0
t614	10	0	10	0
t616	10	0	10	0
t619	10	0	10	0
t624	10	0	10	0
t626	10	0	10	0
t627	10	0	10	0
t628	10	0	10	0
t629	10	0	10	0
t631	10	0	10	0
t633	10	0	10	0
t634	10	0	10	0
t636	10	0	10	0
t637	10	0	10	0
t639	10	0	10	0
t640	10	0	10	0
t641	10	0	10	0
t643	10	0	10	0
t645	10	0	10	0
t646	10	0	10	0
t647	10	0	10	0
t648	10	0	10	0
t654	10	0	10	0
t657	10	0	10	0
t660	10	0	10	0
t664	10	0	10	0
t667	10	0	10	0
t672	10	0	10	0
t673	10	0	10	0
t674	10	0	10	0
t677	10	0	10	0
t679	10	0	10	0
t683	10	0	10	0
t686	10	0	10	0
t687	10	0	10	0
t691	10	0	10	0
t692	10	0	10	0
t697	10	0	10	0
t699	10	0	10	0
t701	10	0	10	0
t703	10	0	10	0
t706	10	0	10	0
t708	10	0	10	0
t712	10	0	10	0
t715	10	0	10	0
t717	10	0	10	0
t718	10	0	10	0
t719	10	0	10	0
t720	10	0	10	0
t725	10	0	10	0
t729	10	0	10	0
t730	10	0	10	0
t731	10	0	10	0
t733	10	0	10	0
t736	10	0	10	0
t738	10	0	10	0
t740	10	0	10	0
t743	10	0	10	0
t744	10	0	10	0
t745	10	0	10	0
t748	10	0	10	0
t750	10	0	10	0
t753	10	0	10	0
t754	10	0	10	0
t758	10	0	10	0
t760	10	0	10	0
t763	10	0	10	0
t767	10	0	10	0
t768	10	0	10	0
t769	10	0	10	0
t774	10	0	10	0
t775	10	0	10	0
t777	10	0	10	0
t779	10	0	10	0
t782	10	0	10	0
t783	10	0	10	0
t785	10	0	10	0
t786	10	0	10	0
t788	10	0	10	0
t790	10	0	10	0
t792	10	0	10	0
t799	10	0	10	0
t804	10	0	10	0
t806	10	0	10	0
t809	10	0	10	0
t810	10	0	10	0
t813	10	0	10	0
