Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
1200000	-27.55023	0	-27.55023	0.209847	0.207029	0.1306	0.416837	0.126122	0.0566173	0.221707	0.642513	1.83192
1210000	-28.18185	0	-28.18185	0.212039	0.253931	0.206227	0.138541	0.144471	0.0862664	0.28744	0.70986	1.12259
1220000	-29.00856	0	-29.00856	0.232321	0.261252	0.207891	0.170747	0.0827042	0.123333	0.204218	0.890535	4.01973
1230000	-32.02154	0	-32.02154	0.0847821	0.123359	0.131697	0.283158	0.0974239	0.22503	0.351358	1.31016	0.547986
1240000	-22.66341	0	-22.66341	0.193648	0.22623	0.144294	0.37907	0.18226	0.150617	1.14964	1.58935	2.08945
1250000	-25.9007	0	-25.9007	0.132103	0.0883064	0.27798	0.116993	0.0695761	0.095912	0.371577	0.887928	1.96247
1260000	-26.4094	0	-26.4094	0.207222	0.311686	0.309993	0.292223	0.133357	0.203453	0.504099	1.49912	2.80925
1270000	-28.97273	0	-28.97273	0.177779	0.225129	0.153812	0.4643	0.151005	0.0755787	1.19507	0.270722	2.09116
1280000	-30.12041	0	-30.12041	0.511511	0.182981	0.234802	0.41851	0.146133	0.0842547	0.846118	1.44693	0.424492
1290000	-33.30469	0	-33.30469	0.503898	0.216594	0.19383	0.224755	0.0791863	0.0956605	0.427558	1.08644	0.387564
1300000	-30.24301	0	-30.24301	0.179489	0.203058	0.0965734	0.321418	0.0875266	0.108077	0.5114	1.19611	0.133783
1310000	-29.14801	0	-29.14801	0.238943	0.0932275	0.155651	0.181391	0.172053	0.0789365	0.128933	1.06321	0.642593
1320000	-23.00466	0	-23.00466	0.146542	0.280244	0.173143	0.201632	0.106746	0.0926171	0.414825	1.45057	1.82136
1330000	-36.40337	0	-36.40337	0.469537	0.143104	0.219181	0.244637	0.125201	0.162518	0.211001	0.32317	2.91887
1340000	-30.03756	0	-30.03756	0.154107	0.174462	0.160468	0.228738	0.163675	0.0745888	0.214889	0.220177	2.09798
1350000	-24.75564	0	-24.75564	0.122739	0.233668	0.159875	0.195507	0.21856	0.0484466	0.676713	0.989608	2.38608
1360000	-27.48682	0	-27.48682	0.175998	0.102367	0.142681	0.511092	0.202685	0.0479522	0.958354	0.560923	3.57549
