Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
1630000	-40.28595	0	-40.28595	0.142497	0.178453	0.234075	0.274582	0.0791699	0.083342
1640000	-41.90123	0	-41.90123	0.471647	0.136508	0.217257	0.302763	0.111661	0.0985043
1650000	-42.69487	0	-42.69487	0.120272	0.101593	0.251571	0.211319	0.166986	0.0711483
1660000	-40.82137	0	-40.82137	0.181812	0.261793	0.134555	0.334834	0.0736793	0.191965
1670000	-41.29564	0	-41.29564	0.214354	0.274272	0.105206	0.361401	0.10335	0.102817
1680000	-49.09035	0	-49.09035	0.22552	0.274928	0.117558	0.400742	0.198022	0.318487
1690000	-48.67473	0	-48.67473	0.22373	0.108168	0.199366	0.233951	0.174456	0.232468
1700000	-45.32404	0	-45.32404	0.369631	0.192813	0.165269	0.361249	0.130068	0.284536
1710000	-37.4363	0	-37.4363	0.383385	0.175242	0.12595	0.249236	0.0630076	0.100288
1720000	-40.97187	0	-40.97187	0.527037	0.213501	0.246472	0.337743	0.0666906	0.0827643
1730000	-47.04543	0	-47.04543	0.322897	0.154111	0.142957	0.793203	0.0741278	0.152509
1740000	-49.7642	0	-49.7642	0.246364	0.191517	0.190237	0.214582	0.0235063	0.188754
1750000	-40.40832	0	-40.40832	0.376161	0.172496	0.232706	0.333091	0.161212	0.0884601
1760000	-43.21933	0	-43.21933	0.289375	0.0744483	0.216355	0.197046	0.0731315	0.0413967
1770000	-47.39239	0	-47.39239	0.145626	0.148707	0.138639	0.236952	0.16886	0.0899162
1780000	-41.47619	0	-41.47619	0.128088	0.141911	0.143335	0.500381	0.112175	0.12217
1790000	-47.58834	0	-47.58834	0.135187	0.164419	0.295475	0.480863	0.0918824	0.190446
1800000	-45.79525	0	-45.79525	0.309801	0.068687	0.162661	0.514868	0.0515224	0.10116
1810000	-40.93202	0	-40.93202	0.251876	0.138188	0.0535212	0.267487	0.0775047	0.140967
1820000	-40.72753	0	-40.72753	0.272791	0.0937366	0.188786	0.444998	0.0870931	0.143803
1830000	-43.19605	0	-43.19605	0.431592	0.205387	0.179943	0.288881	0.115483	0.0973473
1840000	-41.31606	0	-41.31606	0.219063	0.1162	0.262829	0.301679	0.165348	0.0849787
1850000	-41.10553	0	-41.10553	0.270122	0.113363	0.276283	0.3407	0.0784986	0.143323
1860000	-42.86197	0	-42.86197	0.523583	0.11312	0.105739	0.204858	0.0468042	0.18922
1870000	-48.61101	0	-48.61101	0.564446	0.104118	0.436931	0.419763	0.0934085	0.104631
1880000	-42.06508	0	-42.06508	0.19437	0.249702	0.166312	0.246213	0.0943332	0.0842906
1890000	-48.25925	0	-48.25925	0.312831	0.350368	0.210388	0.370969	0.278818	0.0278855
1900000	-42.57817	0	-42.57817	0.210112	0.123248	0.277733	0.252701	0.0387699	0.176875
1910000	-38.90894	0	-38.90894	0.24022	0.247677	0.149197	0.22886	0.108232	0.109134
1920000	-43.51898	0	-43.51898	0.579947	0.169395	0.437913	0.238854	0.154007	0.157019
1930000	-41.48888	0	-41.48888	0.146214	0.322682	0.210545	0.349966	0.0425503	0.120488
1940000	-40.84156	0	-40.84156	0.11868	0.16137	0.113966	0.490464	0.0795246	0.139024
1950000	-44.63474	0	-44.63474	0.315954	0.146716	0.139731	0.719258	0.174841	0.0470065
1960000	-39.34928	0	-39.34928	0.291355	0.183235	0.221289	0.254775	0.0955891	0.114834
1970000	-41.1642	0	-41.1642	0.305042	0.132436	0.104743	0.403167	0.0643935	0.137299
1980000	-46.94829	0	-46.94829	0.176895	0.165021	0.32031	0.279876	0.0937652	0.0990255
1990000	-41.60427	0	-41.60427	0.226037	0.208775	0.0814283	0.195278	0.192591	0.126238
2000000	-39.37574	0	-39.37574	0.28173	0.124428	0.231275	0.396654	0.196007	0.0534734
2010000	-41.00369	0	-41.00369	0.302341	0.113533	0.199892	0.182874	0.0812583	0.0844319
2020000	-42.14894	0	-42.14894	0.322334	0.116333	0.170357	0.413684	0.107501	0.0888589
2030000	-38.54068	0	-38.54068	0.15848	0.193821	0.163887	0.307291	0.073106	0.110573
2040000	-36.37721	0	-36.37721	0.34368	0.11667	0.251432	0.287482	0.132268	0.0708793
2050000	-42.62039	0	-42.62039	0.175738	0.14899	0.138761	0.162333	0.0656254	0.106069
2060000	-46.52921	0	-46.52921	0.233962	0.16795	0.391056	0.368595	0.0983105	0.0983701
2070000	-40.14479	0	-40.14479	0.289044	0.111776	0.288947	0.285802	0.0392379	0.109234
2080000	-44.32364	0	-44.32364	0.266594	0.276051	0.140274	0.200408	0.13134	0.168005
2090000	-42.74553	0	-42.74553	0.320869	0.105384	0.277046	0.292944	0.0779514	0.0634128
2100000	-45.77011	0	-45.77011	0.236938	0.123611	0.118667	0.546794	0.0482003	0.0726886
2110000	-38.88696	0	-38.88696	0.432313	0.20604	0.213539	0.427524	0.11485	0.0967147
2120000	-42.98948	0	-42.98948	0.161993	0.115329	0.132752	0.198783	0.0732742	0.173278
2130000	-45.22754	0	-45.22754	0.251581	0.0795711	0.0859119	0.200651	0.315559	0.155258
2140000	-45.03294	0	-45.03294	0.181173	0.350542	0.147287	0.411508	0.0446407	0.165345
2150000	-46.67568	0	-46.67568	0.231711	0.103362	0.387972	0.306487	0.10154	0.111159
2160000	-47.00238	0	-47.00238	0.257499	0.249489	0.317587	0.33295	0.23948	0.0700312
2170000	-42.80194	0	-42.80194	0.291076	0.077487	0.171685	0.212822	0.0907567	0.115359
2180000	-41.79665	0	-41.79665	0.413626	0.338872	0.313607	0.454976	0.125043	0.148352
2190000	-38.13549	0	-38.13549	0.247061	0.176489	0.162884	0.313037	0.0836309	0.137471
2200000	-47.1014	0	-47.1014	0.198621	0.121817	0.0798307	0.431477	0.0709595	0.101021
2210000	-38.67618	0	-38.67618	0.197698	0.162757	0.188442	0.200201	0.109922	0.208892
2220000	-41.61249	0	-41.61249	0.271045	0.222489	0.12843	0.344108	0.129984	0.0879481
2230000	-43.17576	0	-43.17576	0.313847	0.255462	0.193356	0.326058	0.180495	0.0842641
2240000	-45.02909	0	-45.02909	0.21327	0.171201	0.324259	0.239931	0.151587	0.0914163
2250000	-44.93467	0	-44.93467	0.343007	0.110103	0.144811	0.339529	0.035311	0.182575
2260000	-44.89391	0	-44.89391	0.173791	0.0640921	0.347246	0.407368	0.0561284	0.151032
2270000	-39.15333	0	-39.15333	0.36403	0.157568	0.224156	0.454042	0.0886069	0.0841089
2280000	-46.4124	0	-46.4124	0.133167	0.143751	0.196811	0.271283	0.133754	0.14375
2290000	-43.10406	0	-43.10406	0.31975	0.252237	0.246758	0.259266	0.0727271	0.0751433
2300000	-46.08254	0	-46.08254	0.148709	0.264667	0.1695	0.351377	0.0441064	0.314622
2310000	-41.98416	0	-41.98416	0.168284	0.204001	0.150776	0.187433	0.146282	0.185569
2320000	-42.33129	0	-42.33129	0.425484	0.0502714	0.116722	0.468004	0.0552561	0.146436
2330000	-41.47341	0	-41.47341	0.488229	0.0806146	0.310557	0.39805	0.0701092	0.0780311
2340000	-40.91608	0	-40.91608	0.17943	0.11874	0.185871	0.467438	0.206028	0.0982074
2350000	-35.95336	0	-35.95336	0.282347	0.10152	0.205714	0.388439	0.0502334	0.0962774
2360000	-42.97156	0	-42.97156	0.266224	0.176456	0.185587	0.375649	0.231691	0.109579
2370000	-42.61862	0	-42.61862	0.131439	0.173155	0.309675	0.284555	0.0862783	0.229706
2380000	-40.40302	0	-40.40302	0.179437	0.272804	0.1752	0.180313	0.105806	0.0730158
2390000	-38.07319	0	-38.07319	0.457481	0.0810238	0.261007	0.272644	0.13865	0.115751
2400000	-40.31863	0	-40.31863	0.0944504	0.127922	0.201241	0.37424	0.0736068	0.149215
2410000	-41.26573	0	-41.26573	0.317578	0.211164	0.183307	0.323493	0.0961103	0.0905885
2420000	-43.94374	0	-43.94374	0.512041	0.219132	0.160516	0.156506	0.154435	0.0584508
2430000	-38.39604	0	-38.39604	0.373523	0.0785462	0.146707	0.162388	0.0661906	0.0724797
2440000	-41.12893	0	-41.12893	0.238786	0.17491	0.146266	0.404053	0.058273	0.206347
2450000	-43.23765	0	-43.23765	0.421106	0.206505	0.177467	0.196756	0.0796993	0.0771981
2460000	-42.6053	0	-42.6053	0.210165	0.194026	0.115746	0.200282	0.143698	0.134932
2470000	-49.7805	0	-49.7805	0.335241	0.0800481	0.232904	0.251628	0.212042	0.202894
2480000	-48.46012	0	-48.46012	0.34663	0.0886009	0.308375	0.383286	0.0761665	0.0720928
2490000	-38.58583	0	-38.58583	0.355921	0.0737491	0.101513	0.316414	0.0736129	0.0762814
2500000	-48.18316	0	-48.18316	0.246845	0.158724	0.102462	0.515573	0.136587	0.230523
2510000	-40.56089	0	-40.56089	0.214235	0.128091	0.140602	0.439653	0.0986609	0.171281
2520000	-39.04958	0	-39.04958	0.217203	0.144503	0.0861562	0.427196	0.105782	0.181218
2530000	-43.53167	0	-43.53167	0.447091	0.157517	0.143938	0.34999	0.0890167	0.336174
2540000	-41.29202	0	-41.29202	0.337356	0.192083	0.099935	0.288022	0.106542	0.0807305
2550000	-42.86645	0	-42.86645	0.16321	0.206208	0.249928	0.333791	0.115861	0.209361
2560000	-44.69814	0	-44.69814	0.224433	0.289918	0.205445	0.265336	0.132813	0.06632
2570000	-44.43604	0	-44.43604	0.155588	0.152712	0.168377	0.264042	0.200854	0.0458222
2580000	-41.19157	0	-41.19157	0.272186	0.081389	0.40294	0.264977	0.0658814	0.101458
2590000	-44.60987	0	-44.60987	0.160227	0.0897874	0.182729	0.527423	0.136943	0.145703
2600000	-44.06528	0	-44.06528	0.113417	0.216616	0.0954566	0.371903	0.14233	0.125717
2610000	-42.24695	0	-42.24695	0.287646	0.359735	0.0847325	0.382058	0.215818	0.104845
2620000	-44.00617	0	-44.00617	0.263483	0.297183	0.174221	0.268445	0.111716	0.0943519
2630000	-42.61433	0	-42.61433	0.236669	0.193883	0.247795	0.194889	0.075035	0.1578
2640000	-42.7837	0	-42.7837	0.338897	0.0914842	0.154109	0.204177	0.0413685	0.0438702
2650000	-45.28638	0	-45.28638	0.21956	0.0968612	0.226764	0.367326	0.052336	0.223682
2660000	-37.15237	0	-37.15237	0.162393	0.14749	0.202188	0.247373	0.0622586	0.129065
2670000	-41.22962	0	-41.22962	0.321147	0.339915	0.177153	0.205315	0.179552	0.116717
2680000	-39.68858	0	-39.68858	0.199931	0.116316	0.326404	0.310976	0.0554026	0.116927
2690000	-38.93811	0	-38.93811	0.249103	0.244963	0.155826	0.312552	0.0735192	0.131055
2700000	-46.30858	0	-46.30858	0.281373	0.19276	0.0844129	0.271308	0.117702	0.0809596
2710000	-41.73453	0	-41.73453	0.361846	0.268871	0.178306	0.519911	0.128857	0.138017
2720000	-39.8057	0	-39.8057	0.232988	0.174234	0.117261	0.39639	0.20314	0.115865
2730000	-39.35862	0	-39.35862	0.458275	0.109504	0.168557	0.282888	0.181144	0.100324
2740000	-46.01097	0	-46.01097	0.322238	0.168533	0.214316	0.47717	0.156439	0.19251
2750000	-39.3739	0	-39.3739	0.27328	0.255424	0.20583	0.402551	0.101112	0.116189
2760000	-45.30653	0	-45.30653	0.126062	0.0571415	0.1719	0.174243	0.0419982	0.113776
2770000	-43.36737	0	-43.36737	0.292678	0.239287	0.171679	0.253627	0.0861683	0.20012
2780000	-38.80258	0	-38.80258	0.291323	0.0913204	0.0673479	0.428399	0.0745488	0.118256
2790000	-45.01872	0	-45.01872	0.111088	0.20084	0.165675	0.146311	0.249432	0.0869209
2800000	-46.59782	0	-46.59782	0.440926	0.0815344	0.198955	0.382769	0.0498356	0.10443
2810000	-42.7464	0	-42.7464	0.184423	0.180434	0.190385	0.280737	0.166082	0.155826
2820000	-38.02389	0	-38.02389	0.352351	0.0667704	0.21296	0.292313	0.083656	0.123217
2830000	-42.81153	0	-42.81153	0.153209	0.352289	0.145446	0.347322	0.127039	0.0832637
