   
   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 15 different moves in a random move schedule with 12 moves per iteration
   

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
9200000     |       -21.1207   |              0   |       -21.1207   |   00:10:51   |   00:48:07   |
9300000     |       -18.8518   |              0   |       -18.8518   |   00:10:58   |   00:47:59   |
9400000     |       -21.2359   |              0   |       -21.2359   |   00:11:05   |   00:47:52   |
9500000     |       -15.6947   |              0   |       -15.6947   |   00:11:12   |   00:47:44   |
9600000     |       -27.5635   |              0   |       -27.5635   |   00:11:19   |   00:47:37   |
9700000     |         -22.57   |              0   |         -22.57   |   00:11:27   |   00:47:34   |
9800000     |       -15.9977   |              0   |       -15.9977   |   00:11:34   |   00:47:26   |
9900000     |       -20.6642   |              0   |       -20.6642   |   00:11:41   |   00:47:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
10000000    |       -16.7782   |              0   |       -16.7782   |   00:11:48   |   00:47:12   |
10100000    |       -19.3172   |              0   |       -19.3172   |   00:11:55   |   00:47:04   |
10200000    |        -18.232   |              0   |        -18.232   |   00:12:02   |   00:46:57   |
10300000    |       -30.7733   |              0   |       -30.7733   |   00:12:10   |   00:46:53   |
10400000    |       -17.6501   |              0   |       -17.6501   |   00:12:17   |   00:46:46   |
10500000    |       -16.1383   |              0   |       -16.1383   |   00:12:24   |   00:46:38   |
10600000    |        -24.583   |              0   |        -24.583   |   00:12:31   |   00:46:31   |
10700000    |       -14.0608   |              0   |       -14.0608   |   00:12:38   |   00:46:24   |
10800000    |       -22.7533   |              0   |       -22.7533   |   00:12:45   |   00:46:16   |
10900000    |       -14.4557   |              0   |       -14.4557   |   00:12:53   |   00:46:12   |
11000000    |       -23.7062   |              0   |       -23.7062   |   00:13:00   |   00:46:05   |
11100000    |       -25.9173   |              0   |       -25.9173   |   00:13:07   |   00:45:58   |
11200000    |       -23.4953   |              0   |       -23.4953   |   00:13:14   |   00:45:50   |
11300000    |        -16.188   |              0   |        -16.188   |   00:13:21   |   00:45:43   |
11400000    |       -21.3504   |              0   |       -21.3504   |   00:13:28   |   00:45:35   |
11500000    |       -22.7652   |              0   |       -22.7652   |   00:13:35   |   00:45:28   |
11600000    |       -15.6893   |              0   |       -15.6893   |   00:13:43   |   00:45:24   |
11700000    |       -20.2676   |              0   |       -20.2676   |   00:13:50   |   00:45:17   |
11800000    |       -14.5458   |              0   |       -14.5458   |   00:13:57   |   00:45:09   |
11900000    |       -19.2471   |              0   |       -19.2471   |   00:14:03   |   00:44:59   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
12000000    |       -16.0844   |              0   |       -16.0844   |   00:14:10   |   00:44:51   |
12100000    |       -27.4371   |              0   |       -27.4371   |   00:14:17   |   00:44:44   |
12200000    |        -18.707   |              0   |        -18.707   |   00:14:24   |   00:44:36   |
12300000    |       -20.8741   |              0   |       -20.8741   |   00:14:31   |   00:44:29   |
12400000    |       -17.0751   |              0   |       -17.0751   |   00:14:39   |   00:44:25   |
12500000    |       -20.5438   |              0   |       -20.5438   |   00:14:46   |   00:44:18   |
12600000    |       -18.5162   |              0   |       -18.5162   |   00:14:53   |   00:44:10   |
12700000    |       -18.2983   |              0   |       -18.2983   |   00:15:00   |   00:44:03   |
12800000    |       -15.1737   |              0   |       -15.1737   |   00:15:07   |   00:43:55   |
12900000    |       -18.7012   |              0   |       -18.7012   |   00:15:14   |   00:43:48   |
13000000    |       -18.2108   |              0   |       -18.2108   |   00:15:21   |   00:43:41   |
13100000    |       -18.5821   |              0   |       -18.5821   |   00:15:29   |   00:43:36   |
13200000    |       -17.2741   |              0   |       -17.2741   |   00:15:36   |   00:43:29   |
