taxon	max_age	min_age
t278	4.23293624146943	0
t280	0.648748075018204	0
t281	0.0784582050515219	0
t284	0.349435365577314	0
t288	0.584188120629712	0
t291	4.44834420165726	4.44834420165726
t292	4.50727368407168	0
t293	1.27841413394482	0
t295	5.31642390760623	4.12465159816387
t296	0.419772359701533	0
t299	2.10440767399707	0
t300	2.67932911873941	0
t301	1.79606465751156	0
t303	0.823280944325127	0
t304	0.9319461030578	0
t305	1.05330910149365	0
t306	3.7226501118652	0
t307	0.675548100853323	0
t313	0.911066536153843	0
t318	5.03985640027027	5.03985640027027
t321	0.826338365238026	0
t322	2.34030643457821	0
t324	1.82209300454715	0
t326	0.861649429826194	0
t328	0.893652090904268	0
t333	3.6534847299631	0
t334	1.67669982871451	0
t336	0.120771904327473	0
t337	1.62665238153023	0
t342	0.201688683783658	0
t343	0.197709235389546	0
t344	4.69285862851484	4.69285862851484
t345	5.30963202220314	0
t347	0.929583513744468	0
t350	1.52902462720497	0
t351	3.46807024338865	0
t353	2.38399979288905	0
t354	1.27311395169411	0
t357	0.134477255328708	0
t359	0.18634549163664	0
t362	0.13176668850954	0
t364	1.46269852416814	0
t371	0.0581178262274484	0
t373	0.56154931788102	0
t377	0.670825471437531	0.670825471437531
t378	0.162676730971196	0
t380	1.17640024177808	0
t381	2.01262433201699	2.01262433201699
t382	2.4596077090463	0
t383	2.40212353377157	0
t384	1.53456852965059	0
t385	3.29745634443762	0
t386	0.231009214245152	0
t390	0.95435253164765	0
t391	0.731267759069897	0
t392	0.492385292721387	0
t393	0.319146684283883	0
t398	3.56846090010189	0
t401	0.27606862805877	0
t405	2.94466731766176	0
t406	0.812634043412327	0
t407	0.394845296935497	0
t408	1.24059660552178	0
t409	2.5089370727543	1.78689857677907
t410	0.0190302364061203	0
t414	3.48761369973353	3.48761369973353
t415	0.383663715249096	0
t416	0.406670048247776	0
t417	1.60053352031458	0
t422	1.7341522850838	0
t423	1.6920099758033	0
t426	1.19429547844159	0
t430	0.495107742359071	0
t436	1.26554918528666	0
t437	1.13871833983582	0
t444	1.13580798940116	0
t448	1.50336858412948	0
t452	0.180535914443912	0
t455	0.570338286506946	0
