Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]	psi[1]	psi[2]	psi[3]
690000	-25.54722	0	-25.54722	0.274369	0.223744	0.220751	0.248878	0.0602933	0.0666313	1.16784	0.418724	2.38588
700000	-23.70128	0	-23.70128	0.0818949	0.182369	0.109867	0.325324	0.091544	0.114787	2.88776	1.54401	0.176561
710000	-23.70638	0	-23.70638	0.0288384	0.174051	0.242609	0.166773	0.107519	0.113039	0.974804	2.25732	0.18116
720000	-23.90431	0	-23.90431	0.088292	0.0591078	0.229568	0.299785	0.104603	0.0430337	0.601974	2.3756	0.48539
730000	-25.98227	0	-25.98227	0.223957	0.128745	0.123969	0.324079	0.0980494	0.0556364	1.98701	1.03198	0.365984
740000	-15.41371	0	-15.41371	0.081769	0.25366	0.179598	0.269249	0.0817356	0.100314	1.80213	1.69338	1.44205
750000	-18.1443	0	-18.1443	0.0897222	0.126389	0.212792	0.249114	0.108708	0.103315	4.62794	1.03529	0.564615
760000	-25.12406	0	-25.12406	0.0511128	0.155478	0.168236	0.351169	0.0742581	0.0953609	1.29074	0.390074	1.59027
770000	-17.90642	0	-17.90642	0.112535	0.390153	0.210833	0.20119	0.0629577	0.171344	1.50891	1.2883	1.69525
780000	-30.35197	0	-30.35197	0.106434	0.19404	0.160759	0.164846	0.0475816	0.105485	7.30798	0.910328	0.846402
790000	-22.65498	0	-22.65498	0.0968019	0.410894	0.313531	0.297849	0.0975739	0.0921588	0.527921	4.5043	0.36707
800000	-22.57138	0	-22.57138	0.2287	0.185515	0.380362	0.335283	0.111463	0.148202	0.570498	1.97435	0.956142
810000	-19.59033	0	-19.59033	0.0912199	0.257381	0.0641729	0.544773	0.0611156	0.157323	1.56834	1.4585	1.43082
820000	-19.10898	0	-19.10898	0.211778	0.17949	0.203157	0.304417	0.125196	0.0759763	1.19093	0.828336	2.92073
830000	-16.87622	0	-16.87622	0.0908933	0.260726	0.278391	0.112171	0.132907	0.11609	2.35447	1.16906	2.29281
840000	-16.67352	0	-16.67352	0.149437	0.152227	0.220134	0.500782	0.105715	0.0585133	1.09469	0.960322	1.35312
850000	-18.02717	0	-18.02717	0.0895561	0.355474	0.200105	0.194442	0.27198	0.195817	2.29497	2.75443	1.82902
860000	-22.55678	0	-22.55678	0.255779	0.21007	0.244284	0.371463	0.227515	0.0264551	3.19238	2.02126	0.360077
870000	-20.19988	0	-20.19988	0.0849428	0.166488	0.369847	0.144293	0.0737435	0.23277	1.49059	2.60626	0.711125
880000	-27.384	0	-27.384	0.0670781	0.300271	0.172242	0.554517	0.107902	0.146725	2.8393	1.33367	0.946893
890000	-17.51911	0	-17.51911	0.0791226	0.144686	0.13233	0.188903	0.112478	0.195292	0.698806	1.41156	0.806954
900000	-26.48789	0	-26.48789	0.138624	0.187408	0.0861861	0.78048	0.154579	0.104773	0.402006	1.15589	2.04888
910000	-18.50841	0	-18.50841	0.175157	0.2345	0.329107	0.345766	0.147947	0.126206	2.03445	2.26985	2.3177
920000	-15.31314	0	-15.31314	0.119907	0.172229	0.297529	0.138999	0.0842484	0.101604	1.95905	1.26193	2.65108
930000	-14.14287	0	-14.14287	0.07045	0.132415	0.149789	0.235354	0.15886	0.0617473	2.55273	1.54149	1.02296
940000	-16.83263	0	-16.83263	0.0773851	0.0983922	0.133175	0.466157	0.146497	0.133008	6.69531	0.999306	1.77775
950000	-22.09851	0	-22.09851	0.0892916	0.0998588	0.0965721	0.22372	0.158199	0.0421823	1.2817	1.19754	0.504061
960000	-22.35266	0	-22.35266	0.213387	0.092428	0.0741565	0.508015	0.096021	0.0986874	3.08076	1.69824	0.213468
970000	-18.91823	0	-18.91823	0.172511	0.154988	0.178772	0.28421	0.113645	0.11796	3.42663	0.82289	1.16021
980000	-20.03787	0	-20.03787	0.164373	0.176434	0.17127	0.443652	0.113392	0.163218	1.11266	1.28298	1.70806
990000	-24.83932	0	-24.83932	0.144255	0.139965	0.206537	0.658293	0.102322	0.0508041	1.76576	1.75752	0.502082
1000000	-19.15348	0	-19.15348	0.125806	0.124178	0.223364	0.199843	0.0914214	0.10446	2.65489	6.09805	1.03569
1010000	-18.87626	0	-18.87626	0.105677	0.125762	0.119317	0.20487	0.118951	0.105287	1.24904	1.77964	2.39051
1020000	-23.03297	0	-23.03297	0.0468353	0.108372	0.216241	0.355771	0.0833214	0.178576	7.63069	1.07558	1.10627
1030000	-24.29212	0	-24.29212	0.253485	0.116683	0.155319	0.16932	0.177844	0.100587	1.12263	0.778444	0.667294
