Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
1060000	-50.3938	0	-50.3938	0.258937	0.0943133	0.113724	0.14372	0.0984664	0.0753006
1070000	-48.45465	0	-48.45465	0.112851	0.306385	0.264331	0.370561	0.20951	0.0816022
1080000	-46.17458	0	-46.17458	0.123304	0.239508	0.0835358	0.380632	0.14688	0.124505
1090000	-49.30887	0	-49.30887	0.224327	0.48715	0.146817	0.306441	0.20063	0.0666975
1100000	-48.21436	0	-48.21436	0.146234	0.237619	0.264855	0.20404	0.189277	0.11315
1110000	-47.72673	0	-47.72673	0.144788	0.326414	0.149882	0.150413	0.0854815	0.141477
1120000	-49.80739	0	-49.80739	0.164979	0.187912	0.11937	0.182267	0.149871	0.102305
1130000	-49.2924	0	-49.2924	0.0993121	0.405604	0.306519	0.373753	0.151627	0.0975435
1140000	-47.08104	0	-47.08104	0.190024	0.475814	0.16124	0.478624	0.0932199	0.201055
1150000	-50.25343	0	-50.25343	0.116265	0.166975	0.141872	0.260341	0.0467819	0.373736
1160000	-49.87797	0	-49.87797	0.139222	0.759566	0.105523	0.37658	0.0642045	0.10723
1170000	-48.33866	0	-48.33866	0.0833717	0.408029	0.195513	0.437452	0.086365	0.252572
1180000	-43.66454	0	-43.66454	0.0925222	0.373765	0.107002	0.292811	0.0635229	0.0768801
1190000	-47.64502	0	-47.64502	0.143752	0.369398	0.238789	0.280918	0.100142	0.0730616
1200000	-49.90904	0	-49.90904	0.144321	0.152916	0.210033	0.189355	0.0794937	0.126701
1210000	-51.93832	0	-51.93832	0.162377	0.465928	0.154574	0.249362	0.249729	0.0920061
1220000	-46.29817	0	-46.29817	0.11883	0.661518	0.288107	0.364542	0.0756805	0.136536
1230000	-47.25227	0	-47.25227	0.177106	0.259646	0.113096	0.273055	0.0491817	0.0913598
1240000	-48.73617	0	-48.73617	0.0702204	0.347963	0.35038	0.416231	0.100514	0.171525
